user_id,signup_date,country,gender,age,subscription_tier,subscription_price
36,2023-06-16T00:00:00.000000,Netherlands,Male,25,Basic,2.99
37,2023-05-18T00:00:00.000000,France,Non-Binary,27,Premium,5.99
38,2023-03-11T00:00:00.000000,Austria,Male,44,Free,0.0
39,2023-05-19T00:00:00.000000,Netherlands,Female,42,Basic,2.99
40,2023-03-25T00:00:00.000000,Germany,Female,29,Free,0.0
41,2023-06-15T00:00:00.000000,France,Male,35,Free,0.0
42,2023-06-08T00:00:00.000000,Austria,Male,28,Free,0.0
43,2023-03-25T00:00:00.000000,Austria,Male,37,Free,0.0
44,2023-05-10T00:00:00.000000,Spain,Male,56,Free,0.0
45,2023-04-23T00:00:00.000000,France,Male,42,Free,0.0
46,2023-05-14T00:00:00.000000,Spain,Male,45,Basic,2.99
47,2023-02-09T00:00:00.000000,Netherlands,Female,40,Basic,2.99
48,2023-11-26T00:00:00.000000,France,Male,39,Free,0.0
49,2023-01-15T00:00:00.000000,Germany,Male,33,Free,0.0
50,2023-04-28T00:00:00.000000,France,Male,44,Free,0.0
51,2023-05-10T00:00:00.000000,Austria,Female,35,Free,0.0
52,2023-12-26T00:00:00.000000,Spain,Male,49,Free,0.0
53,2023-02-21T00:00:00.000000,Germany,Male,36,Basic,2.99
54,2023-04-10T00:00:00.000000,Austria,Male,22,Basic,2.99
55,2023-08-25T00:00:00.000000,Germany,Male,54,Basic,2.99
56,2023-04-22T00:00:00.000000,Spain,Female,24,Basic,2.99
57,2023-01-10T00:00:00.000000,Spain,Male,35,Free,0.0
58,2023-04-26T00:00:00.000000,Austria,Male,36,Free,0.0
59,2023-05-01T00:00:00.000000,Austria,Male,22,Free,0.0
60,2023-02-08T00:00:00.000000,Austria,Male,42,Basic,2.99
61,2023-12-19T00:00:00.000000,Netherlands,Male,35,Free,0.0
62,2023-05-20T00:00:00.000000,Austria,Male,39,Free,0.0
63,2023-01-18T00:00:00.000000,Spain,Female,25,Premium,5.99
64,2023-03-26T00:00:00.000000,Germany,Male,34,Free,0.0
65,2023-10-24T00:00:00.000000,Austria,Male,32,Basic,2.99
66,2023-11-25T00:00:00.000000,Netherlands,Female,26,Free,0.0
67,2023-12-02T00:00:00.000000,Netherlands,Female,31,Free,0.0
68,2023-03-05T00:00:00.000000,Germany,Male,39,Free,0.0
69,2023-03-01T00:00:00.000000,Netherlands,Male,31,Free,0.0
70,2023-12-25T00:00:00.000000,Spain,Female,32,Free,0.0
71,2023-06-14T00:00:00.000000,Germany,Female,34,Free,0.0
72,2023-02-05T00:00:00.000000,Netherlands,Female,30,Basic,2.99
73,2023-07-26T00:00:00.000000,France,Female,19,Free,0.0
74,2023-07-25T00:00:00.000000,Spain,Female,21,Free,0.0
75,2023-06-24T00:00:00.000000,France,Female,24,Free,0.0
76,2023-01-07T00:00:00.000000,Austria,Female,53,Basic,2.99
77,2023-12-29T00:00:00.000000,Germany,Male,23,Premium,5.99
78,2023-05-10T00:00:00.000000,Germany,Female,24,Free,0.0
79,2023-05-17T00:00:00.000000,Germany,Male,24,Premium,5.99
80,2023-05-30T00:00:00.000000,Netherlands,Female,22,Basic,2.99
81,2023-11-10T00:00:00.000000,Germany,Non-Binary,26,Free,0.0
82,2023-11-01T00:00:00.000000,Spain,Male,37,Free,0.0
83,2023-08-19T00:00:00.000000,Austria,Male,41,Premium,5.99
84,2023-05-10T00:00:00.000000,Netherlands,Male,36,Free,0.0
85,2023-12-25T00:00:00.000000,Netherlands,Female,33,Basic,2.99
86,2023-07-10T00:00:00.000000,Netherlands,Female,32,Free,0.0
87,2023-04-10T00:00:00.000000,France,Male,35,Premium,5.99
88,2023-05-31T00:00:00.000000,Germany,Female,28,Basic,2.99
89,2023-03-07T00:00:00.000000,France,Female,40,Free,0.0
90,2023-05-04T00:00:00.000000,Austria,Male,28,Free,0.0
91,2023-01-20T00:00:00.000000,Netherlands,Female,35,Premium,5.99
92,2023-07-02T00:00:00.000000,Germany,Female,35,Free,0.0
93,2023-10-29T00:00:00.000000,Netherlands,Female,37,Premium,5.99
94,2023-07-22T00:00:00.000000,Spain,Male,43,Free,0.0
95,2023-04-14T00:00:00.000000,France,Female,29,Free,0.0
96,2023-05-29T00:00:00.000000,Spain,Male,36,Free,0.0
97,2023-11-28T00:00:00.000000,France,Male,27,Premium,5.99
98,2023-10-01T00:00:00.000000,France,Male,29,Basic,2.99
99,2023-11-27T00:00:00.000000,Spain,Male,25,Free,0.0
100,2023-05-18T00:00:00.000000,Germany,Male,40,Free,0.0
101,2023-01-07T00:00:00.000000,Germany,Female,27,Free,0.0
102,2023-06-04T00:00:00.000000,Germany,Male,30,Basic,2.99
103,2023-11-25T00:00:00.000000,Austria,Male,47,Basic,2.99
104,2023-06-01T00:00:00.000000,Spain,Male,36,Free,0.0
105,2023-09-28T00:00:00.000000,France,Male,36,Free,0.0
106,2023-07-09T00:00:00.000000,France,Male,22,Free,0.0
107,2023-10-12T00:00:00.000000,Austria,Male,31,Free,0.0
108,2023-10-22T00:00:00.000000,France,Female,20,Free,0.0
109,2023-09-27T00:00:00.000000,Spain,Female,22,Premium,5.99
110,2023-12-29T00:00:00.000000,France,Female,20,Free,0.0
111,2023-10-03T00:00:00.000000,Netherlands,Male,28,Basic,2.99
112,2023-04-01T00:00:00.000000,Germany,Female,44,Free,0.0
113,2023-12-06T00:00:00.000000,France,Female,47,Premium,5.99
114,2023-07-29T00:00:00.000000,Germany,Female,32,Basic,2.99
115,2023-04-15T00:00:00.000000,Spain,Male,26,Free,0.0
116,2023-04-23T00:00:00.000000,France,Female,29,Free,0.0
117,2023-02-13T00:00:00.000000,Spain,Male,31,Free,0.0
118,2023-11-21T00:00:00.000000,France,Male,32,Basic,2.99
119,2023-06-12T00:00:00.000000,France,Male,41,Free,0.0
120,2023-10-11T00:00:00.000000,Germany,Male,34,Free,0.0
121,2023-04-15T00:00:00.000000,Spain,Female,30,Free,0.0
122,2023-11-19T00:00:00.000000,Spain,Female,23,Basic,2.99
123,2023-11-08T00:00:00.000000,Austria,Male,36,Free,0.0
124,2023-11-30T00:00:00.000000,France,Male,27,Free,0.0
125,2023-09-24T00:00:00.000000,Spain,Male,57,Premium,5.99
126,2023-04-05T00:00:00.000000,Netherlands,Female,34,Free,0.0
127,2023-11-01T00:00:00.000000,Austria,Male,42,Premium,5.99
128,2023-06-03T00:00:00.000000,Netherlands,Male,38,Free,0.0
129,2023-12-17T00:00:00.000000,Spain,Male,38,Free,0.0
130,2023-01-01T00:00:00.000000,Germany,Female,19,Free,0.0
131,2023-11-14T00:00:00.000000,Austria,Female,36,Free,0.0
132,2023-10-11T00:00:00.000000,Spain,Male,61,Premium,5.99
133,2023-10-28T00:00:00.000000,France,Male,29,Free,0.0
134,2023-03-06T00:00:00.000000,Netherlands,Male,58,Free,0.0
135,2023-09-16T00:00:00.000000,Spain,Male,36,Free,0.0
136,2023-11-28T00:00:00.000000,France,Female,30,Free,0.0
137,2023-05-24T00:00:00.000000,Spain,Female,34,Basic,2.99
138,2023-08-02T00:00:00.000000,Netherlands,Male,28,Premium,5.99
139,2023-01-11T00:00:00.000000,Austria,Male,25,Free,0.0
140,2023-09-17T00:00:00.000000,France,Male,33,Free,0.0
141,2023-03-03T00:00:00.000000,Austria,Male,24,Free,0.0
142,2023-06-08T00:00:00.000000,Netherlands,Male,49,Free,0.0
143,2023-06-07T00:00:00.000000,Germany,Male,54,Premium,5.99
144,2023-03-15T00:00:00.000000,Austria,Female,30,Free,0.0
145,2023-10-02T00:00:00.000000,Austria,Male,29,Basic,2.99
146,2023-11-30T00:00:00.000000,Netherlands,Male,41,Free,0.0
147,2023-10-08T00:00:00.000000,Austria,Female,28,Free,0.0
148,2023-06-08T00:00:00.000000,France,Female,22,Free,0.0
149,2023-09-03T00:00:00.000000,Netherlands,Female,24,Basic,2.99
150,2023-04-08T00:00:00.000000,Spain,Male,23,Basic,2.99
151,2023-03-04T00:00:00.000000,Netherlands,Male,35,Free,0.0
152,2023-03-10T00:00:00.000000,France,Male,32,Free,0.0
153,2023-01-01T00:00:00.000000,Germany,Female,30,Basic,2.99
154,2023-12-14T00:00:00.000000,Spain,Female,24,Basic,2.99
155,2023-02-24T00:00:00.000000,Austria,Female,52,Free,0.0
156,2023-05-13T00:00:00.000000,Austria,Female,40,Free,0.0
157,2023-04-17T00:00:00.000000,Spain,Female,19,Basic,2.99
158,2023-11-06T00:00:00.000000,Austria,Male,30,Basic,2.99
159,2023-01-22T00:00:00.000000,Spain,Female,29,Basic,2.99
160,2023-06-17T00:00:00.000000,Netherlands,Female,20,Free,0.0
161,2023-02-05T00:00:00.000000,Austria,Male,41,Free,0.0
162,2023-02-24T00:00:00.000000,Spain,Male,21,Free,0.0
163,2023-08-15T00:00:00.000000,Netherlands,Female,24,Basic,2.99
164,2023-07-10T00:00:00.000000,Netherlands,Non-Binary,34,Basic,2.99
165,2023-08-03T00:00:00.000000,Netherlands,Male,35,Free,0.0
166,2023-04-30T00:00:00.000000,Netherlands,Male,55,Premium,5.99
167,2023-11-21T00:00:00.000000,France,Male,32,Free,0.0
168,2023-08-30T00:00:00.000000,Germany,Female,19,Free,0.0
169,2023-04-04T00:00:00.000000,Germany,Male,43,Free,0.0
170,2023-01-06T00:00:00.000000,France,Male,38,Free,0.0
171,2023-07-22T00:00:00.000000,Spain,Male,22,Free,0.0
172,2023-09-14T00:00:00.000000,Austria,Female,57,Free,0.0
173,2023-09-01T00:00:00.000000,Netherlands,Female,38,Free,0.0
174,2023-05-25T00:00:00.000000,Austria,Male,40,Free,0.0
175,2023-11-26T00:00:00.000000,Austria,Male,25,Basic,2.99
176,2023-08-03T00:00:00.000000,Austria,Male,39,Free,0.0
177,2023-04-07T00:00:00.000000,Spain,Female,31,Free,0.0
178,2023-01-20T00:00:00.000000,Austria,Male,38,Premium,5.99
179,2023-10-16T00:00:00.000000,France,Female,41,Free,0.0
180,2023-01-11T00:00:00.000000,Spain,Male,44,Free,0.0
181,2023-05-27T00:00:00.000000,Germany,Female,50,Free,0.0
182,2023-05-08T00:00:00.000000,Netherlands,Male,23,Free,0.0
183,2023-02-12T00:00:00.000000,France,Male,37,Free,0.0
184,2023-09-17T00:00:00.000000,Spain,Female,23,Premium,5.99
185,2023-12-29T00:00:00.000000,Austria,Male,24,Free,0.0
186,2023-07-08T00:00:00.000000,Germany,Male,35,Premium,5.99
187,2023-01-13T00:00:00.000000,Spain,Female,38,Free,0.0
188,2023-03-14T00:00:00.000000,Spain,Female,45,Basic,2.99
189,2023-06-21T00:00:00.000000,Spain,Male,23,Free,0.0
190,2023-01-10T00:00:00.000000,Netherlands,Female,40,Basic,2.99
191,2023-12-08T00:00:00.000000,Austria,Male,30,Free,0.0
192,2023-11-21T00:00:00.000000,Netherlands,Male,31,Free,0.0
193,2023-04-15T00:00:00.000000,Spain,Female,25,Free,0.0
194,2023-03-02T00:00:00.000000,Germany,Male,41,Free,0.0
195,2023-02-14T00:00:00.000000,Spain,Female,33,Premium,5.99
196,2023-10-30T00:00:00.000000,Austria,Male,29,Basic,2.99
197,2023-06-24T00:00:00.000000,Spain,Female,52,Premium,5.99
198,2023-07-06T00:00:00.000000,Austria,Female,22,Free,0.0
199,2023-06-05T00:00:00.000000,France,Male,35,Free,0.0
200,2023-08-10T00:00:00.000000,Spain,Female,26,Premium,5.99
201,2023-04-09T00:00:00.000000,Germany,Male,34,Free,0.0
202,2023-08-17T00:00:00.000000,Austria,Female,51,Free,0.0
203,2023-04-19T00:00:00.000000,Spain,Female,19,Free,0.0
204,2023-05-29T00:00:00.000000,France,Female,42,Free,0.0
205,2023-04-28T00:00:00.000000,Germany,Male,48,Premium,5.99
206,2023-05-29T00:00:00.000000,Netherlands,Male,28,Basic,2.99
207,2023-10-20T00:00:00.000000,Netherlands,Female,28,Free,0.0
208,2023-10-30T00:00:00.000000,Netherlands,Male,40,Basic,2.99
209,2023-03-26T00:00:00.000000,France,Female,31,Free,0.0
210,2023-05-09T00:00:00.000000,Spain,Male,38,Free,0.0
211,2023-10-24T00:00:00.000000,Spain,Female,41,Free,0.0
212,2023-09-30T00:00:00.000000,Spain,Male,37,Basic,2.99
213,2023-06-22T00:00:00.000000,Germany,Female,32,Free,0.0
214,2023-09-27T00:00:00.000000,Austria,Male,26,Free,0.0
215,2023-10-28T00:00:00.000000,Germany,Female,43,Basic,2.99
216,2023-07-11T00:00:00.000000,Spain,Male,42,Free,0.0
217,2023-09-26T00:00:00.000000,France,Male,41,Free,0.0
218,2023-05-22T00:00:00.000000,France,Male,38,Free,0.0
219,2023-01-06T00:00:00.000000,Netherlands,Female,63,Premium,5.99
220,2023-06-05T00:00:00.000000,Netherlands,Male,19,Basic,2.99
221,2023-12-22T00:00:00.000000,Austria,Female,33,Free,0.0
222,2023-12-10T00:00:00.000000,France,Male,32,Basic,2.99
223,2023-01-10T00:00:00.000000,Netherlands,Male,28,Free,0.0
224,2023-01-18T00:00:00.000000,France,Female,38,Free,0.0
225,2023-08-01T00:00:00.000000,Netherlands,Male,44,Free,0.0
226,2023-08-16T00:00:00.000000,Netherlands,Male,36,Basic,2.99
227,2023-10-12T00:00:00.000000,Germany,Male,40,Basic,2.99
228,2023-11-26T00:00:00.000000,Netherlands,Female,32,Free,0.0
229,2023-07-30T00:00:00.000000,Spain,Male,39,Free,0.0
230,2023-09-23T00:00:00.000000,France,Male,31,Free,0.0
231,2023-01-15T00:00:00.000000,Netherlands,Female,40,Free,0.0
232,2023-05-01T00:00:00.000000,Germany,Male,22,Free,0.0
233,2023-03-14T00:00:00.000000,France,Male,51,Free,0.0
234,2023-06-15T00:00:00.000000,France,Female,39,Free,0.0
235,2023-04-21T00:00:00.000000,Spain,Male,35,Free,0.0
236,2023-10-11T00:00:00.000000,Austria,Male,29,Basic,2.99
237,2023-04-09T00:00:00.000000,Netherlands,Male,22,Free,0.0
238,2023-09-09T00:00:00.000000,Austria,Male,24,Premium,5.99
239,2023-07-02T00:00:00.000000,Netherlands,Female,34,Free,0.0
240,2023-09-26T00:00:00.000000,Austria,Non-Binary,23,Free,0.0
241,2023-06-04T00:00:00.000000,Austria,Male,51,Premium,5.99
242,2023-12-31T00:00:00.000000,France,Male,28,Free,0.0
243,2023-06-29T00:00:00.000000,France,Male,29,Free,0.0
244,2023-10-25T00:00:00.000000,France,Male,58,Free,0.0
245,2023-01-03T00:00:00.000000,Netherlands,Male,34,Basic,2.99
246,2023-08-15T00:00:00.000000,Spain,Male,26,Free,0.0
247,2023-11-08T00:00:00.000000,France,Male,48,Basic,2.99
248,2023-11-20T00:00:00.000000,France,Male,33,Basic,2.99
249,2023-07-04T00:00:00.000000,Germany,Male,32,Free,0.0
250,2023-05-31T00:00:00.000000,Netherlands,Female,46,Free,0.0
251,2023-03-10T00:00:00.000000,Netherlands,Female,20,Free,0.0
252,2023-05-27T00:00:00.000000,Netherlands,Male,31,Free,0.0
253,2023-10-10T00:00:00.000000,Spain,Female,33,Free,0.0
254,2023-06-02T00:00:00.000000,Spain,Female,31,Free,0.0
255,2023-06-18T00:00:00.000000,Netherlands,Female,41,Free,0.0
256,2023-10-16T00:00:00.000000,Austria,Male,23,Free,0.0
257,2023-09-19T00:00:00.000000,France,Female,29,Free,0.0
258,2023-05-07T00:00:00.000000,France,Male,48,Premium,5.99
259,2023-01-31T00:00:00.000000,Netherlands,Female,21,Basic,2.99
260,2023-11-28T00:00:00.000000,Spain,Female,40,Basic,2.99
261,2023-03-03T00:00:00.000000,Germany,Male,45,Free,0.0
262,2023-03-09T00:00:00.000000,Spain,Female,31,Free,0.0
263,2023-07-03T00:00:00.000000,Netherlands,Male,42,Free,0.0
264,2023-10-07T00:00:00.000000,Spain,Female,21,Basic,2.99
265,2023-04-10T00:00:00.000000,Germany,Female,30,Free,0.0
266,2023-09-16T00:00:00.000000,Germany,Female,28,Basic,2.99
267,2023-12-03T00:00:00.000000,Netherlands,Female,40,Basic,2.99
268,2023-09-18T00:00:00.000000,Austria,Male,30,Premium,5.99
269,2023-10-01T00:00:00.000000,Germany,Female,27,Basic,2.99
270,2023-09-18T00:00:00.000000,Germany,Female,56,Free,0.0
271,2023-08-18T00:00:00.000000,Austria,Male,35,Free,0.0
272,2023-05-13T00:00:00.000000,Spain,Female,46,Free,0.0
273,2023-05-11T00:00:00.000000,Netherlands,Male,34,Free,0.0
274,2023-06-13T00:00:00.000000,Netherlands,Female,24,Free,0.0
275,2023-02-17T00:00:00.000000,France,Female,36,Free,0.0
276,2023-05-27T00:00:00.000000,Austria,Female,32,Premium,5.99
277,2023-11-22T00:00:00.000000,Spain,Male,21,Basic,2.99
278,2023-10-17T00:00:00.000000,Spain,Female,25,Free,0.0
279,2023-10-21T00:00:00.000000,Germany,Female,27,Free,0.0
280,2023-04-14T00:00:00.000000,Netherlands,Male,52,Premium,5.99
281,2023-02-05T00:00:00.000000,France,Male,20,Free,0.0
282,2023-08-01T00:00:00.000000,Austria,Male,34,Free,0.0
283,2023-09-05T00:00:00.000000,France,Male,34,Free,0.0
284,2023-01-23T00:00:00.000000,Netherlands,Female,19,Basic,2.99
285,2023-04-22T00:00:00.000000,Austria,Male,34,Free,0.0
286,2023-06-10T00:00:00.000000,Germany,Female,32,Free,0.0
287,2023-04-28T00:00:00.000000,Austria,Male,39,Free,0.0
288,2023-07-01T00:00:00.000000,Netherlands,Female,35,Free,0.0
289,2023-03-09T00:00:00.000000,France,Male,28,Premium,5.99
290,2023-05-23T00:00:00.000000,Germany,Male,32,Premium,5.99
291,2023-04-14T00:00:00.000000,France,Male,59,Basic,2.99
292,2023-05-10T00:00:00.000000,Austria,Male,42,Premium,5.99
293,2023-06-25T00:00:00.000000,France,Male,33,Free,0.0
294,2023-04-25T00:00:00.000000,Netherlands,Male,43,Free,0.0
295,2023-01-31T00:00:00.000000,Spain,Male,35,Basic,2.99
296,2023-05-06T00:00:00.000000,Austria,Female,33,Free,0.0
297,2023-04-18T00:00:00.000000,France,Female,37,Premium,5.99
298,2023-06-02T00:00:00.000000,Germany,Female,25,Free,0.0
299,2023-05-01T00:00:00.000000,Austria,Male,24,Basic,2.99
300,2023-02-13T00:00:00.000000,Spain,Female,20,Free,0.0
301,2023-11-28T00:00:00.000000,Germany,Female,22,Basic,2.99
302,2023-03-13T00:00:00.000000,Netherlands,Male,28,Free,0.0
303,2023-07-23T00:00:00.000000,Germany,Male,24,Free,0.0
304,2023-05-26T00:00:00.000000,France,Male,22,Basic,2.99
305,2023-02-20T00:00:00.000000,France,Male,43,Free,0.0
306,2023-11-03T00:00:00.000000,Austria,Female,19,Basic,2.99
307,2023-03-23T00:00:00.000000,Germany,Male,22,Free,0.0
308,2023-11-17T00:00:00.000000,France,Female,31,Basic,2.99
309,2023-04-12T00:00:00.000000,Austria,Female,32,Free,0.0
310,2023-03-12T00:00:00.000000,Netherlands,Male,56,Basic,2.99
311,2023-01-28T00:00:00.000000,Spain,Male,41,Free,0.0
312,2023-02-10T00:00:00.000000,Germany,Male,44,Free,0.0
313,2023-10-17T00:00:00.000000,France,Male,21,Free,0.0
314,2023-05-19T00:00:00.000000,France,Female,29,Free,0.0
315,2023-12-13T00:00:00.000000,Netherlands,Female,31,Basic,2.99
316,2023-07-06T00:00:00.000000,Netherlands,Female,37,Premium,5.99
317,2023-08-14T00:00:00.000000,Netherlands,Male,33,Free,0.0
318,2023-04-29T00:00:00.000000,Austria,Male,39,Free,0.0
319,2023-09-19T00:00:00.000000,Spain,Female,37,Basic,2.99
320,2023-02-21T00:00:00.000000,Austria,Female,53,Free,0.0
321,2023-10-04T00:00:00.000000,Netherlands,Male,23,Free,0.0
322,2023-05-18T00:00:00.000000,Spain,Female,41,Premium,5.99
323,2023-09-12T00:00:00.000000,Spain,Male,45,Premium,5.99
324,2023-05-07T00:00:00.000000,Netherlands,Male,28,Free,0.0
325,2023-10-28T00:00:00.000000,France,Female,30,Free,0.0
326,2023-04-11T00:00:00.000000,Spain,Male,23,Premium,5.99
327,2023-10-10T00:00:00.000000,Netherlands,Female,23,Free,0.0
328,2023-09-25T00:00:00.000000,France,Male,33,Free,0.0
329,2023-12-09T00:00:00.000000,Spain,Male,58,Basic,2.99
330,2023-01-09T00:00:00.000000,Germany,Male,29,Free,0.0
331,2023-06-07T00:00:00.000000,Netherlands,Male,25,Free,0.0
332,2023-03-12T00:00:00.000000,Germany,Male,48,Basic,2.99
333,2023-03-24T00:00:00.000000,Germany,Male,50,Free,0.0
334,2023-05-06T00:00:00.000000,France,Male,31,Free,0.0
335,2023-07-14T00:00:00.000000,Netherlands,Male,41,Free,0.0
336,2023-04-08T00:00:00.000000,Austria,Non-Binary,41,Premium,5.99
337,2023-11-01T00:00:00.000000,Spain,Female,26,Free,0.0
338,2023-09-19T00:00:00.000000,Spain,Male,21,Basic,2.99
339,2023-10-13T00:00:00.000000,France,Male,22,Free,0.0
340,2023-11-09T00:00:00.000000,Germany,Male,36,Basic,2.99
341,2023-02-24T00:00:00.000000,Germany,Male,43,Free,0.0
342,2023-12-16T00:00:00.000000,Austria,Female,21,Basic,2.99
343,2023-02-20T00:00:00.000000,Austria,Male,36,Free,0.0
344,2023-11-19T00:00:00.000000,Germany,Male,37,Free,0.0
345,2023-04-26T00:00:00.000000,Austria,Female,41,Free,0.0
346,2023-01-29T00:00:00.000000,Austria,Male,30,Free,0.0
347,2023-08-28T00:00:00.000000,Germany,Female,26,Premium,5.99
348,2023-03-01T00:00:00.000000,Germany,Male,37,Free,0.0
349,2023-04-10T00:00:00.000000,Spain,Female,32,Free,0.0
350,2023-01-05T00:00:00.000000,Netherlands,Female,30,Free,0.0
351,2023-06-23T00:00:00.000000,Germany,Male,26,Free,0.0
352,2023-05-21T00:00:00.000000,Spain,Male,28,Basic,2.99
353,2023-01-25T00:00:00.000000,France,Male,25,Premium,5.99
354,2023-07-22T00:00:00.000000,France,Female,46,Free,0.0
355,2023-09-22T00:00:00.000000,Spain,Male,45,Basic,2.99
356,2023-04-07T00:00:00.000000,Austria,Male,34,Premium,5.99
357,2023-12-08T00:00:00.000000,Germany,Male,35,Free,0.0
358,2023-04-26T00:00:00.000000,Spain,Male,22,Free,0.0
359,2023-01-28T00:00:00.000000,Germany,Male,43,Free,0.0
360,2023-05-25T00:00:00.000000,France,Female,19,Free,0.0
361,2023-01-19T00:00:00.000000,Austria,Female,46,Basic,2.99
362,2023-10-18T00:00:00.000000,Spain,Male,26,Free,0.0
363,2023-11-25T00:00:00.000000,Austria,Male,43,Premium,5.99
364,2023-02-23T00:00:00.000000,Spain,Female,41,Free,0.0
365,2023-12-25T00:00:00.000000,Germany,Female,32,Free,0.0
366,2023-10-12T00:00:00.000000,Netherlands,Male,33,Basic,2.99
367,2023-09-30T00:00:00.000000,Germany,Female,41,Basic,2.99
368,2023-10-31T00:00:00.000000,Netherlands,Female,28,Basic,2.99
369,2023-08-31T00:00:00.000000,Germany,Male,24,Free,0.0
370,2023-06-20T00:00:00.000000,Netherlands,Female,33,Premium,5.99
371,2023-06-25T00:00:00.000000,France,Female,29,Premium,5.99
372,2023-09-13T00:00:00.000000,Germany,Male,35,Free,0.0
373,2023-12-16T00:00:00.000000,Spain,Male,32,Free,0.0
374,2023-11-02T00:00:00.000000,Germany,Male,22,Free,0.0
375,2023-11-17T00:00:00.000000,Germany,Female,29,Free,0.0
376,2023-01-16T00:00:00.000000,Germany,Male,39,Premium,5.99
377,2023-04-10T00:00:00.000000,Netherlands,Male,40,Premium,5.99
378,2023-09-05T00:00:00.000000,Austria,Male,26,Premium,5.99
379,2023-06-14T00:00:00.000000,Germany,Male,23,Free,0.0
380,2023-12-14T00:00:00.000000,France,Female,30,Free,0.0
381,2023-01-12T00:00:00.000000,Germany,Male,41,Free,0.0
382,2023-12-30T00:00:00.000000,Netherlands,Female,22,Premium,5.99
383,2023-10-20T00:00:00.000000,Netherlands,Male,32,Basic,2.99
384,2023-09-07T00:00:00.000000,France,Female,33,Basic,2.99
385,2023-09-08T00:00:00.000000,Germany,Female,23,Premium,5.99
386,2023-01-24T00:00:00.000000,Spain,Male,39,Free,0.0
387,2023-11-13T00:00:00.000000,Netherlands,Female,23,Free,0.0
388,2023-05-17T00:00:00.000000,Netherlands,Male,46,Premium,5.99
389,2023-05-06T00:00:00.000000,Spain,Male,52,Free,0.0
390,2023-08-08T00:00:00.000000,Spain,Female,27,Basic,2.99
391,2023-01-13T00:00:00.000000,France,Male,35,Free,0.0
392,2023-03-15T00:00:00.000000,Austria,Male,30,Free,0.0
393,2023-12-08T00:00:00.000000,France,Female,52,Premium,5.99
394,2023-03-17T00:00:00.000000,Austria,Male,25,Free,0.0
395,2023-11-17T00:00:00.000000,Spain,Male,25,Basic,2.99
396,2023-01-03T00:00:00.000000,Germany,Female,37,Free,0.0
397,2023-05-04T00:00:00.000000,Spain,Male,29,Free,0.0
398,2023-07-02T00:00:00.000000,Germany,Female,27,Free,0.0
399,2023-11-10T00:00:00.000000,Netherlands,Male,24,Premium,5.99
400,2023-02-08T00:00:00.000000,Austria,Male,49,Free,0.0
401,2023-09-08T00:00:00.000000,Netherlands,Female,37,Premium,5.99
402,2023-06-20T00:00:00.000000,Germany,Female,38,Free,0.0
403,2023-09-10T00:00:00.000000,Netherlands,Male,44,Free,0.0
404,2023-10-16T00:00:00.000000,Germany,Female,19,Basic,2.99
